integration_mode,model,training_seed,best_epoch,val_macro_f1,test_macro_f1,test_micro_f1,test_macro_auroc,test_loss,threshold,optimize_validation_thresholds,batch_size,num_epochs,gnn_num_layers
drop,gnn,959,23,0.4063303992000182,0.32761490052981146,0.3703310320410692,0.6990262228722885,1.3123802542686462,0.5,False,48,30,2
drop,molformer,959,24,0.4956550509145327,0.42283491682723523,0.49522852837769965,0.7798190603188316,1.2312622980067605,0.5,False,48,30,2
intersection,gnn,959,24,0.30752026906635405,0.23552543630179792,0.31899545818861874,0.6871239764916753,1.2722701022499485,0.5,False,48,30,2
intersection,molformer,959,8,0.4615733625323715,0.3702903901346282,0.4466975666280417,0.7481409596019417,1.1479648006589789,0.5,False,48,30,2
union,gnn,959,23,0.3255483498079951,0.27534897547810316,0.2735091743119266,0.7008366590381288,1.4292301943427639,0.5,False,48,30,2
union,molformer,959,30,0.38085467966045816,0.36201346531129963,0.40146207736826073,0.7921910828048738,1.1204027690385516,0.5,False,48,30,2
