SMILES,animalic&ambery,sweety&gourmand,floral,fruity&vegetable,pungent&disagreetable,green&herbal,nutty,woody&mossy,resinous&balsamic,cooked,odorless,spice
CCc1ccc(O)c(OC)c1,,,0,,,0,,,,,0,1
c1ccc(CCCc2ccccn2)cc1,0,0,,,,1,0,1,0,0,0,
CC1=CC2(C=CC(C)O2)C(C(C)C)CC1,0,0,0,1,,,0,0,0,0,0,0
CC(=O)OC(CCC(C)C)c1ccccc1,0,0,1,0,0,1,0,0,0,0,0,0
CC(C)=CCC/C(C)=C/COC(Cc1ccccc1)OC/C=C(\C)CCC=C(C)C,0,0,1,1,0,1,0,0,0,0,0,0
CC1(O)CCC2C(=CCCC2(C)C)C1,1,0,0,0,,,0,,,0,0,0
CCOC(=O)C(CC)OC(C)=O,0,0,0,,0,1,0,0,0,0,0,
CC(=O)O[C@@]12CCC[C@@](C)(CC[C@@H]3[C@@H]1CC3(C)C)C2,0,0,0,,0,0,0,1,0,0,0,1
CC(=O)c1ccncc1,0,1,0,0,1,0,0,0,0,,0,0
CC(N)=O,,0,0,0,,0,0,0,0,0,,0
CCCCCC(=O)CCC,0,0,0,,0,1,0,0,0,0,0,0
O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,0,0,0,0,0,0,0,0,0,0,1,0
C=CC1CN2CCC1CC2[C@H](O)c1ccnc2ccc(OC)cc12.Cl.O.O,0,0,0,0,0,0,0,0,0,0,1,0
CCC(C)COC(=O)c1ccccc1O,0,,1,0,0,1,0,,1,0,0,0
CCCCC(C)OC(C)=O,0,,0,1,1,0,0,0,0,0,0,0
Cc1ccccc1C(O)O.OCC(O)CO,0,1,0,,,,1,0,0,0,0,0
CCCCCC#CC(=O)OCCCCCCCC,,0,0,0,0,1,0,0,0,0,0,0
CC(C)=C[C@H]1C[C@@H](C)CCO1,0,0,1,0,0,1,0,0,0,0,0,0
Cc1ccncc1,,1,0,0,,,0,0,0,,0,0
CC(=O)SC1CCOC1C,,0,0,0,1,0,0,0,0,1,0,0
CC/C=C/CCOC(CC)OC,0,0,0,,,1,0,0,0,0,0,0
COc1ncc(C)nc1C,0,0,0,0,,0,0,1,0,0,0,0
CCC(C)C(=O)OCCc1ccccc1,0,,1,,0,1,0,0,0,0,0,0
O=C1C=C2C(=CCOC2O)O1,0,0,0,0,0,0,0,0,0,0,1,0
CC[C@H](C)CC=O,0,0,0,,1,1,0,0,0,0,0,0
CC(=O)OCCCC(C)c1ccccc1,0,0,1,,0,1,0,0,0,0,0,0
CC(C)C1CCCCC1.CCO,0,0,1,0,1,1,0,1,0,0,0,0
O=C1CCCCCC1,0,0,0,0,0,1,0,0,0,0,0,
CCCCC(CC)C(=O)OCC(C)CC,,0,0,0,0,0,0,0,0,0,0,0
O=C1C(O)=C(O)OC1C(O)CO,0,0,0,0,0,0,0,0,0,0,1,0
CCCC[C@H](C)O,0,,0,1,,1,0,1,0,0,0,0
CC(C)(C)C(=O)OCc1ccccc1,0,0,1,0,0,1,0,0,0,0,0,1
CC(C)[C@H]1CC[C@H](C)CC1=O,0,0,0,0,0,1,0,0,0,0,0,
CCCCCC(=O)OCCC,0,,,,,,0,,0,0,0,0
CCCCCOC(=O)c1ccccc1O,0,,1,,0,1,0,0,,,0,0
CC(=O)OC(C)CC/C=C(\C)CCC=C(C)C,0,1,0,1,,1,0,0,0,0,0,0
CCCCC=CCC(=O)O,,0,0,0,0,0,0,0,0,0,0,0
CCC(=O)SCc1ccco1,0,1,0,,1,,0,0,0,1,0,
CC(=O)CCS,,0,0,,,0,0,0,0,,0,0
CCCOC(=O)CCC,,,,,,0,0,,0,0,0,0
CCC(C)C=O,,,0,,,,,,0,,0,0
CCc1nc(C)c(C)o1,0,,0,1,,1,0,1,0,0,0,0
CCCCCC=CC(=O)OCCC,,0,0,0,0,0,0,0,0,0,0,0
CCCSS(=O)(=O)CCC,0,0,0,,1,,0,0,0,1,0,0
CC=C(C)C(=O)OCCCCCC,0,0,0,,0,1,0,0,0,0,0,0
CCCCCCCC1CCCC(=O)O1,,,,,,,,,0,,0,0
Cc1ccc(OC(=O)Cc2ccccc2)cc1,,,,0,0,,0,0,0,0,0,0
CCCCC(CC)C(=O)OCc1ccccc1,0,0,0,,0,1,0,1,0,0,0,0
CC(C)C/C=C(/C=O)c1ccccc1,0,1,0,,,,,0,0,,0,0
CC1SCCS1,0,0,0,,1,0,0,,,,0,0
C=CCCCCO,,0,0,0,,1,0,0,0,0,0,0
CC/C=C\CC(OCC)OCC,0,0,0,1,0,1,0,0,0,0,0,
FC(F)(Cl)CCl,0,0,0,0,0,0,0,0,0,0,1,0
CCc1c([N+](=O)[O-])cc(C(C)(C)C)c(OC)c1[N+](=O)[O-],1,0,0,0,0,0,0,0,1,0,0,0
COC(=O)C1CCCCC1,,,,1,0,,0,0,0,0,0,
CCCCCCC(C)C=O,,0,1,,,,0,0,0,0,0,0
C=C1C(=O)CC2CC1C2(C)C,0,0,0,0,,1,0,0,0,0,0,
CC(C)CC(=O)CO,0,0,0,,,0,0,0,0,0,0,0
C/C=C/C(=O)OC,0,0,0,,0,1,0,0,0,0,0,0
C/C=C\CCCOC(C)=O,0,,0,1,0,1,0,0,0,0,0,0
CCCCCC(=O)OCC(C)O,0,0,0,,,1,0,0,0,0,0,0
CCCCCC(=O)OC(CCCC)C(=O)OCC,0,1,0,,0,0,0,0,0,0,0,0
CCCCCCCCCCCC(=O)OCCCC,,,0,,,0,,0,0,0,0,0
CCCCCCCC=CC(C)=O,0,0,0,,0,1,0,0,0,0,0,0
CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1.N,0,0,0,0,0,0,0,0,0,0,1,0
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,0,0,0,0,0,0,0,0,0,0,1,0
CCCCCCCC=C(C=O)CCCCCC,0,0,0,1,,0,0,0,0,0,0,0
Cc1cc(C)cc(C)c1,0,,0,0,,1,0,0,0,0,0,1
CC1CC(C)C(=O)C1=O,0,1,0,,,0,,,0,,0,
CC(=O)SC1CC(C)OC1C,,0,0,0,1,0,0,0,0,1,0,0
CC(C)C(=O)OC(C)(C)c1ccccc1,,,0,,0,,0,0,0,0,0,0
CCCCCC(CC)OC(=O)CCC,0,0,0,,,1,0,,0,0,0,0
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0,0,0,0,1,0,0,0,0,0,0,0
CCCCC/C=C/C=C/C(C)=O,,0,0,,0,,0,0,0,,0,0
CCOC(=O)C(C)(O)CC,0,,0,,0,,,,0,,0,
[Ne],0,0,0,0,0,0,0,0,0,0,1,0
C=CCc1ccc(OC(=O)c2ccccc2)c(OC)c1,0,0,0,0,0,0,0,0,1,0,0,
COC.Oc1cccc(O)c1O,0,0,0,,1,0,,1,0,0,0,
CC1=NC(C)OC1C,0,1,0,,1,1,1,1,0,,0,0
CCC1(O)C2(C)CCCC1(C)CC2,,0,0,0,,0,0,1,0,0,0,0
CCOC(CCc1ccccc1)OCC,0,0,1,0,0,0,0,0,0,0,0,1
O=C(O)c1ccccc1O,0,0,0,0,,0,,0,0,0,,0
CC/C=C/CC=O,0,0,,,,1,0,0,0,0,0,0
CC(C)OC(=O)CCCCCCCCC(=O)OC(C)C,0,0,0,0,,0,0,0,0,0,0,0
O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2],0,0,0,0,0,0,0,0,0,0,1,0
O=C/C=C\c1ccccc1,0,,0,0,0,0,0,0,0,0,0,1
COC(=O)c1ccccc1N=Cc1ccc(OC)cc1,0,1,1,,0,1,0,,0,0,0,0
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,1,,0,,,0,0,,,0,0,0
CC1(C)CC2C3CCCC(C)(C3O)C2C1,0,0,0,0,,,0,1,,0,0,
O=c1ccc2ccccc2o1,0,1,0,0,,,,0,0,0,0,
C=CC(O)CCCCCC,0,,0,1,,,0,1,0,0,0,
COC(OC)OC,0,,,1,,0,0,,0,,0,0
CC(=O)OCC(C)c1ccccc1,0,,1,,,1,0,1,0,0,0,0
C/C=C\C(=O)CC,0,1,0,1,1,1,0,,0,0,0,1
CC1CCC2C(C1)C(C(C)C)CCC2(C)O,1,0,0,0,1,0,0,1,1,0,0,0
CC(=CCC(C)C=O)C(C)C,0,0,0,1,1,1,0,0,0,0,0,0
CC(=O)OC(C(C)=O)C(O)CO,0,0,0,0,0,0,0,0,0,0,1,0
CCCCOC(=O)CCC(C)=O,,,0,,0,,0,0,0,,0,0
CCCCC(=O)CCCC,0,,,,0,,0,0,0,0,0,
CCCCCCCCC(OC)OC,0,0,,1,,1,0,0,0,0,0,0
CCCCCCN,0,0,0,0,1,0,0,,0,0,0,0
C=CCSC(=O)CC,0,,0,,1,1,0,0,0,0,0,1
C=C1CC[C@H]2[C@@H]([C@H]3C(C)CC[C@@H]13)C2(C)C,0,0,0,,0,0,0,0,0,0,0,0
COC(=O)C=C(C)C,0,1,1,1,,1,0,0,0,0,0,1
CCCC(=O)C(S)CC,0,0,0,1,,1,0,0,0,0,0,0
CCCCCCCC/C=C/CCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,0,0,0,,0,0,0,0,0,0,0,0
CCCCCCCCOC(C)=O,,0,,1,,1,0,,0,0,0,0
CC(C)COC(=O)c1ccccc1O,0,,1,0,0,1,0,,0,0,0,
O=C(CCO)OCCc1ccccc1,0,1,,,,0,0,0,0,0,0,0
CCCCCCCC=CC=CC=CC=O,,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C)cc1C,0,0,0,0,0,1,,,0,0,0,
CCOC(=O)CC(O)c1ccco1,0,,1,0,0,1,0,1,0,0,0,0
O=P([O-])([O-])F.[Na+].[Na+],0,0,0,0,0,0,0,0,0,0,1,0
C=CCSSC=CC,0,0,0,,1,1,0,0,0,0,0,1
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,0,0,0,0,0,0,0,0,0,0,1,0
CCC(=O)OC(C)c1ccccc1,0,1,1,,,1,0,,0,0,0,0
C/C=C/c1ccc(OC)cc1,0,,,,,,,,0,0,0,1
FC(F)=C(F)C(F)(F)F,0,0,0,0,0,0,0,0,0,0,1,0
CC(S)CCCN,0,0,0,0,0,0,0,0,0,0,1,0
C=CCSC,0,0,0,,1,1,0,0,0,0,0,1
CC(=O)C(C)O,,,0,,,,0,,0,,0,0
CC(C)CCCCC=CC=O,,0,0,1,0,0,0,1,0,0,0,0
CCOC(C)/C=C/C1=C(C)CCCC1(C)C,,,1,1,0,0,0,1,0,0,0,0
OC[C@H]1O[C@@H]2O[C@H]3C(O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]8[C@H](O)[C@@H](O)[C@@H](O[C@H]1[C@H](O)[C@H]2O)O[C@@H]8CO)O[C@@H]7CO)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO,0,0,0,0,0,0,0,0,0,0,1,0
CC(=O)OCC[C@@H]1CC=C(C)C1(C)C,0,,,,,1,0,,0,0,0,
C=CCSSSSC,0,0,0,,1,1,0,0,0,0,0,1
C=C/C(C)=C/C=C/C(C)C,0,0,1,0,0,1,0,0,0,0,0,0
CCc1nccnc1SC,,0,0,,,,,,0,1,0,0
C=CCC(=O)c1ccc(O)c(OC)c1,0,1,0,0,0,0,0,0,0,0,0,0
O=C([O-])O,0,0,0,0,0,0,0,0,0,0,1,0
Cc1cccc2cccnc12,1,1,1,0,0,0,0,0,0,0,0,0
CCCCCCCC/C=C/CCCCCCCCO,,0,0,0,0,0,0,0,0,0,0,0
O=C1CCC/C=C\CCCCCCCCCC1,1,0,0,0,0,0,0,0,1,0,0,0
CC(=O)OC1CCC2C(C)(C)CCCC2(C)C1,1,0,0,0,0,0,0,1,1,0,0,0
CC1(C)C2=CCCC(C)(C)C23CCC1C3,,0,0,0,0,0,0,1,,0,0,0
CC(=O)OCC(C)C,0,,,,,,0,0,0,0,0,0
CCCC(CC=O)SC,,1,,0,,1,0,0,0,,0,0
C[C@H]1CCc2nccnc21,,1,0,1,0,0,1,1,0,1,0,0
CCCCOCCc1ccccc1,0,,1,1,,1,0,,0,0,0,
OCCOCCOCCO,0,0,0,0,,0,0,0,0,0,,0
C[C@H]1O[C@H](O[C@@H]2[C@@H](O)C[C@@H](O[C@@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H](CC[C@H]6[C@@H]5CC[C@]5(C)[C@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@H]1O,0,0,0,0,0,0,0,0,0,0,1,0
CCc1ccccn1,0,0,0,0,,1,0,,,0,0,0
COC(CCc1ccccc1)OC,0,0,1,,0,1,0,,0,0,0,0
CC(=O)[O-].[Tl+],0,0,0,0,0,0,0,0,0,0,1,0
O=C1O[C@H]([C@@H](O)CO)C(O)=C1[O-],0,0,0,0,0,0,0,0,0,0,1,0
C/C=C(\C)COC(C)=O,0,,0,1,0,1,0,0,0,0,0,0
CCCC(=O)OC[C@@H](O)c1ccccc1,0,0,1,,0,1,0,0,0,0,0,0
CCCCCOCCCCC,0,0,0,1,,1,0,0,0,0,0,0
COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc2O)cc1O,0,,0,,0,0,0,0,0,0,,0
CCc1cncc(C)n1,,,0,,,0,,0,0,,0,0
C/C=C/C(=O)C1C(C)=CCCC1(C)C,0,,,,,,0,,,0,0,
CC1CCCC(=O)O1,0,1,0,,0,,,0,0,,0,0
CCCCCCCCCC,0,,0,0,,0,0,0,0,0,0,0
CCCOC(=O)C(C)CC,0,,,,,,0,,0,0,0,0
C=C/C=C/C=C\CCC(=O)CC,0,0,1,,0,0,0,0,1,0,0,0
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,0,0,0,0,0,0,0,0,0,0,1,0
CC(=O)OC/C=C(\C)CC/C=C(\C)CCC=C(C)C,0,0,,,0,,0,0,0,0,0,0
CC(C)CCCCCCCCCCO,0,0,1,0,0,0,0,0,0,0,0,0
COC(=O)C1OC1(C)C=CC1C(C)=CCCC1(C)C,0,,,,0,0,0,,0,,0,0
O=P([O-])(O)O.[NH4+],0,0,0,0,0,0,0,0,0,0,1,0
CC(C)=CCCC(C)CCOCC=O,0,,1,,,,0,0,0,0,0,0
CCC(=O)C(C)(C)C,0,0,0,0,1,1,0,0,0,0,0,
C=CC(C)(C)O,0,0,0,,,1,0,,0,0,0,0
CC(C)(S)CC=O,0,0,0,0,1,0,0,0,0,1,0,0
CCOC(=O)C(=O)C(C)CC,0,0,0,0,0,,1,1,0,0,0,0
C/C=C(\C)C(=O)OCCCCCC,0,0,,,0,1,0,,0,0,0,0
CCCCCCCC1CCCO1,0,0,1,,,,0,0,0,0,0,0
CCCCSSCCCC,0,0,0,,1,,0,0,0,0,0,0
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,0,0,0,0,0,0,0,0,0,0,1,0
C/C=C(\C)C(=O)OCC=Cc1ccccc1,0,0,1,0,0,1,0,0,0,0,0,0
C=C(C)C1CCC(C)CC1=O,0,0,0,0,0,1,0,,0,0,0,
CCCCCC=CC=CO,0,0,0,0,0,1,0,0,0,0,0,0
CSSC(C)(C)C=O,,,0,,,,0,,,,0,
CC(C)C1OC(C)(C)OCC1(C)C,0,0,0,,,,0,1,0,0,0,0
CC(C=O)Cc1ccc2c(c1)OCO2,,0,1,,,1,0,0,0,0,0,
CCCCN,,0,0,0,1,0,0,0,0,,0,0
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,0,0,0,0,0,0,0,0,0,0,1,0
COc1ccc(C=CC=O)cc1OC,0,0,0,0,0,0,1,1,1,0,0,1
CC(=O)OCC(OC(C)=O)c1ccccc1,0,,1,,0,1,0,1,,0,0,0
CCCCOC(C)OCCCC,0,,,,,1,0,,0,0,0,
CSSCc1ccccc1,0,0,0,,,,0,0,0,0,,0
CC(C)CCOCCc1ccccc1,0,,,,,1,0,,0,0,0,0
C/C=C/C=C\COC(=O)CC,0,1,,1,0,0,0,,0,0,0,0
CCCCC(=O)OC,,,0,1,,1,,0,0,0,0,0
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0,0,0,0,0,0,0,0,0,0,1,0
CCOC(=O)CCCCC(=O)OCC,0,0,,1,0,0,0,,0,0,0,0
CCC1OCCC(C)S1,,,1,1,0,1,0,0,0,0,0,0
O=S(=O)([O-])[O-].[Be+2],0,0,0,0,0,0,0,0,0,0,1,0
CC1CC2C(C/C1=C/CC#N)C2(C)C,0,0,1,0,0,1,0,,0,0,0,0
C=CCOC(=O)CCCC(C)(C)CC,,,,,0,0,0,0,0,0,0,
CC(C)=CCCC(C)=C1CC=C(C)CC1,0,,0,1,0,1,0,1,1,0,0,1
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,0,0,0,0,0,1,0,0,0,0,0,
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Co+2].[Co+2].[Co+2],0,0,0,0,0,0,0,0,0,0,1,0
O=C1OC(c2ccc(O)c(S(=O)(=O)[O-])c2)(c2ccc(O)c(S(=O)(=O)[O-])c2)c2c(Br)c(Br)c(Br)c(Br)c21,0,0,0,0,0,0,0,0,0,0,1,0
CCCCCC#CC(=O)OCCC(C)C,,,,0,0,1,0,0,0,0,0,0
CCCCCCCc1ccccn1,0,0,1,0,,1,0,1,0,0,0,0
COC(=O)c1ccc(OC)cc1,0,,,,0,,0,,,,0,
C=CC(C)(CCC1OC1(C)C)OC(C)=O,0,0,1,1,0,1,0,1,0,0,0,
CCCCCc1cccs1,,,0,,,,,,0,,0,0
C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)O,0,0,0,0,0,0,0,0,0,0,1,0
CCCCCCOC(CCCC)OCCCCCC,0,0,0,,,1,0,0,0,0,0,0
CC(C)=CC/C=C(/C)CCO,0,0,1,0,0,0,0,0,0,0,0,0
CC(=O)C=C(C)C=CC1=C(C)CCCC1(C)C,0,0,0,,0,0,0,1,0,0,0,0
COc1cc(C(C)C)ccc1C,0,0,0,,,,0,0,0,0,0,
C=CCC(C)C(=O)O,0,0,0,,1,0,0,0,0,0,0,0
CCCCC/C=C\CCCC(=O)O,,,0,0,0,1,0,0,0,0,0,0
Cc1ccccc1C,0,,,0,,,0,0,0,0,0,
CCC(=O)S,0,0,0,0,1,0,0,0,0,0,0,0
CCCCCCCCC(=O)OCCCCCCC,0,,1,1,0,,0,,0,0,0,0
CCCCCCCCCCCCCCCCO,,0,,,0,0,0,0,0,0,,0
CCCc1nccnc1C,0,,0,0,,0,1,,0,0,0,0
CN(c1c(Br)cc(Br)cc1Br)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(F)(F)F,0,0,0,0,0,0,0,0,0,0,1,0
CC1CC(C)(C)CC(=O)O1,0,0,0,1,,1,1,1,0,0,0,1
C=CCc1ccc(OC(C)=O)c(OC)c1,0,,,,0,,0,,,0,0,1
NC(=O)/N=N/C(N)=O,0,0,0,0,0,0,0,0,0,0,1,0
CCC(C)(C)SSC(C)(C)CC,,0,0,1,1,1,0,0,0,1,0,0
CCCCC(C#N)c1ccccc1,,,,0,0,,0,,1,0,0,0
CCCCCCC/C=C/C(=O)O,,1,0,,0,1,0,0,0,,0,0
COC(=O)c1c(C)cc(O)c(C)c1O,0,0,0,0,,0,0,1,0,0,0,0
CCCCCCOC=O,0,,0,,,,0,0,0,0,0,0
CCCCCCCCCCCCCCCCCCOC(C)=O,,0,0,0,0,0,0,0,0,0,0,0
COC(=O)c1ccccc1C,0,1,1,1,0,,0,,0,0,0,0
C=CCOC(=O)CCC1CCCCC1,0,,0,1,0,,0,0,,0,0,0
CCCCCCCCCCCC(=O)OCC,,,,,0,,0,,0,0,0,
O=C(O)/C=C(/CC(=O)O)C(=O)O,0,0,0,,,0,,0,0,,,0
CCOC(=O)C(C)C(=O)OCC,0,0,0,0,,0,0,0,0,0,0,0
CCC(C)C(O)C(=O)O,0,1,0,,1,0,0,0,0,,0,0
CCOC(C)C=CC1C(C)=CCCC1(C)C,0,0,0,,,0,0,1,0,0,0,0
OCc1ccccc1,0,,,,,,,,,0,,
N[C@@H](CC(=O)O)C(=O)[O-].N[C@@H](CCC[NH3+])C(=O)O,0,0,0,0,0,0,0,0,0,0,1,0
CC(CC(C)(C)C#N)c1ccccc1,0,,,1,,1,0,,0,0,0,
O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Mg+2].[Mg+2].[Mg+2],0,0,0,0,0,0,0,0,0,0,1,0
Cc1c(O)ccc([N+](=O)[O-])c1[N+](=O)[O-],0,0,0,0,0,0,0,0,0,0,1,0
CCCCc1nc(C)c(C)s1,,0,0,0,1,1,1,0,0,1,0,0
CCCCC=CCCCCC(=O)OCCC(C)C,0,0,1,0,0,0,0,0,0,0,0,0
O=C[O-].O=C[O-].[Ni+2],0,0,0,0,0,0,0,0,0,0,1,0
Cc1c(Br)c2ccc(F)cc2n1S(=O)(=O)c1ncn(S(=O)(=O)N(C)C)n1,0,0,0,0,0,0,0,0,0,0,1,0
CCCCCCCC(O)CC,,0,,1,1,0,0,,0,0,0,0
O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Cu+2],0,0,0,0,0,0,0,0,0,0,1,0
CCCC(=O)OCC=Cc1ccccc1,0,,,,0,0,0,,1,,0,
CC(=O)C1(C)CC=C(C)CC1,0,0,0,,0,,0,0,0,0,0,
C/C=C/C(=O)[C@@H]1[C@@H](C)C=CCC1(C)C,0,,1,,,,0,0,0,0,0,0
O=[Cr](=O)([O-])[O-].[Li+].[Li+],0,0,0,0,0,0,0,0,0,0,1,0
CCC(=O)OCC(C)OC(=O)CC,0,0,,1,0,0,0,,0,0,0,0
F[Si](F)(F)[Si](F)(F)F,0,0,0,0,0,0,0,0,0,0,1,0
CCCCCCCCCCCCC1CCC(=O)O1,,,0,0,0,0,0,0,0,0,0,0
CC(C)=CCCC1(C)C2CC=C(C)C1C2,0,,0,0,0,1,0,1,0,0,0,0
CC(C)[C@H](N)C(=O)O,0,0,0,0,0,0,0,0,0,0,1,0
CC(C)CCCCOC(=O)C(C)C,0,0,,1,0,1,0,,0,0,0,0
CC(C)CC(=O)OCCc1ccccc1,,,1,,0,,0,0,,0,0,0
CC(=O)OCCCCCCCS,0,,0,1,0,1,0,0,0,0,0,0
CC(C)C(=O)OC1CC2CC1C1CC=CC21,,1,1,0,0,1,0,1,0,0,0,0
CC1=CC[C@@H](C(C)(C)O)CC1,0,,1,0,0,,0,0,0,0,0,0
CCCCCCCOC(C)C,0,0,0,1,,1,0,0,0,0,0,0
C=C(C)C1CCC2(C)OC2C1,0,,0,,0,,0,0,0,0,0,
CC=Cc1cc(OC)c2c(c1OC)OCO2,0,0,0,0,0,1,0,1,0,0,0,0
CC1CCCCCCCCCCCCCC1=O,1,0,0,0,0,0,0,0,0,0,0,0
CCCCCOC(=O)CCCCC,,,0,,0,,0,,0,,0,0
CCCCCOC(=O)CCC,,,0,1,,0,0,0,0,0,0,0
CSC(=O)CC(C)C,0,,0,1,1,0,0,,0,0,0,0
CC(=O)OCCCCS,0,0,0,,1,0,1,0,0,0,0,0
C[C@@H]1C[C@H](O)CC(C)(C)C1,0,0,0,0,0,1,0,,0,0,0,
CC(C)OC(=O)Cc1ccccc1,0,1,,,,,0,,0,,0,0
CC(C)=CCC/C(C)=C/CO,,,1,,0,,0,0,0,0,0,0
CCCCOC(=O)C(C)C,0,,0,,,,0,0,0,0,0,0
O=CCCCc1ccccc1,0,0,1,,0,0,0,0,0,0,0,0
CCCCCCCCCOC(=O)c1ccccc1N,0,,,,0,,0,,0,0,0,0
CCCC(=O)OCC,0,,0,1,,0,0,,0,,0,0
Cc1ccc(CS)o1,0,,0,0,1,0,0,0,0,1,0,0
CSC(C)S,,0,0,,,,0,0,0,,0,
C#CC1(OC(C)=O)CCCCC1C(C)CC,1,,0,0,0,0,0,1,1,0,0,0
CC1=CCC(C(C)(C)OC(=O)C(C)C)CC1,,0,1,,0,,0,0,,0,0,
CCS(=O)(=O)c1nc2ccccn2c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,0,0,0,0,0,0,0,0,0,0,1,0
CCCCCCCCOCC(=O)OCC,,0,1,,0,0,0,0,0,0,0,0
C=CCCCCCCCC(C)=O,,0,0,1,0,,0,0,0,0,0,0
CC(OC=O)C1CCCC(C)(C)C1,0,0,0,1,0,,0,1,,0,0,0
CC=Cc1ccccc1O,0,,0,0,1,1,0,0,0,0,0,1
CCCCCC1COC(=O)CO1,0,,,1,,0,0,,0,,0,0
O.O.O.O.O=[As][O-].O=[As][O-].[Sr+2],0,0,0,0,0,0,0,0,0,0,1,0
CCCCCCOC(C)OCCC(C)C,0,,0,,,,0,0,0,0,0,0
CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2,0,,0,0,,1,0,,,0,0,0
CCCCC1(CCCC)CCC(=O)O1,0,,0,,0,0,,0,0,,,0
NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,0,0,0,0,0,0,0,0,0,0,1,0
CCOCc1ccccc1,0,0,0,,0,0,0,0,0,0,0,0
CBr,0,0,0,0,0,0,0,0,0,0,1,0
CCC(=O)C=Cc1ccc(OC)cc1,0,1,,,0,,,0,0,,0,
CC(C)(C)O,0,0,0,0,1,,0,0,0,0,0,
CC1=NC(C)SC1,,0,0,1,0,0,1,0,0,1,0,0
C=C(C)CCC(C)=O,,,0,1,,1,0,0,0,0,0,0
CCCC1OC1C=CC=O,0,0,0,0,,0,0,0,0,0,0,0
N#C[S-].N#C[S-].[Hg+2],0,0,0,0,0,0,0,0,0,0,1,0
NC(N)=NCCC[C@H](N)C(=O)O,0,0,0,0,0,0,0,0,0,0,,0
C=C/C(C)=C/CC(C)(C)/C(=N\O)C(C)C,0,0,1,1,,1,0,0,0,0,0,
CC1NC(C)SC(C)S1,,0,0,,,0,,,0,,0,0
CC1(C)C[C@H]2[C@H]1CC[C@]1(C)CCC[C@@]2(O)C1,0,0,0,0,,0,0,1,,0,0,1
CC(=O)CO,0,1,,,,,0,,0,,0,0
CC(=O)CCC(=O)OCc1ccccc1,0,,0,,0,0,0,0,0,,0,0
CCO,0,,,,,0,,,0,0,0,
C=C(C)C1CC=C(C)CC1,0,0,0,,,,0,,,0,0,
CC(=O)C(S)C(C)C,0,0,0,1,,,0,0,0,0,0,0
C=CC(C)(O)CCC=C(C)C,0,,1,,,,0,,0,0,0,
C=CC/C=C/CCC(=O)OC,0,0,0,1,0,,0,0,0,0,0,0
CCCCCCCCCC(C)C=Nc1ccccc1C(=O)OC,0,0,1,,0,,0,0,0,0,0,0
CC(=O)/C(C)=C/c1ccccc1,0,,0,,1,1,0,0,0,0,0,0
