dataset,labels,train,val,test,size_error,pairwise_mean_abs_rate_difference,max_pairwise_abs_rate_difference,train_val_mean_abs_rate_difference,train_test_mean_abs_rate_difference
odornet_raw,84,16273,4649,2325,0,0.016018275422804925,0.2587065709084498,0.022824340306856608,0.007740028065046945
gs_lf,100,4069,1163,581,0,0.0006295418879959927,0.0025898952646354993,0.00046442208109593604,0.0005510240942705621
smiles_to_smell,119,2804,801,401,0,0.0009323223345306322,0.005021777640791904,0.0006973056417104342,0.0008109319479923763
arctander,50,1977,565,282,0,0.0010800963734677908,0.0036088621100859863,0.0007555561523896492,0.0010195977141381194
